"","Country.code","Region.code","Year","VA_Agriculture","VA_Mining","VA_Manufacturing","VA_Utilities","VA_Construction","VA_Trade..restaurants.and.hotels","VA_Transport..storage.and.communication","VA_Finance..insurance..real.estate.and.business.services","VA_Government.services","VA_Community..social.and.personal.services","VA_Summation.of.sector.GDP","EMP_Agriculture","EMP_Mining","EMP_Manufacturing","EMP_Utilities","EMP_Construction","EMP_Trade..restaurants.and.hotels","EMP_Transport..storage.and.communication","EMP_Finance..insurance..real.estate.and.business.services","EMP_Government.services","EMP_Community..social.and.personal.services","EMP_Summation.of.sector.GDP","VAQ_ Agriculture","VAQ_ Mining","VAQ_ Manufacturing","VAQ_ Utilities","VAQ_ Construction","VAQ_ Trade..restaurants.and.hotels","VAQ_ Transport..storage.and.communication","VAQ_ Finance..insurance..real.estate.and.business.services","VAQ_ Government.services","VAQ_ Community..social.and.personal.services","VAQ_ Summation.of.sector.GDP","base.yr.Q"
"1","ARG","LAM",1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1800,33,1603,39,314,890,425,204,825,411,6544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"2","ARG","LAM",1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1835,34,1641,42,353,880,428,204,818,411,6647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"3","ARG","LAM",1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1731,36,1690,49,311,932,462,219,881,442,6752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"4","ARG","LAM",1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2030,34,1578,52,292,904,455,210,870,435,6859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"5","ARG","LAM",1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1889,33,1722,58,330,914,469,214,894,445,6967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"6","ARG","LAM",1955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1843,32,1840,61,349,934,487,215,880,436,7077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"7","ARG","LAM",1956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1789,33,1870,70,355,939,499,224,934,462,7173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"8","ARG","LAM",1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1724,32,1940,74,430,990,506,223,897,456,7270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"9","ARG","LAM",1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1678,32,2043,75,454,999,519,225,891,453,7368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
"10","ARG","LAM",1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1725,38,1932,83,429,949,568,243,1012,489,7467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VA_Q05"
