"","Country.code","Year","Region.code","Agriculture","Mining","Manufacturing","Utilities","Construction","Trade..restaurants.and.hotels","Transport..storage.and.communication","Finance..insurance..real.estate.and.business.services","Government.services","Community..social.and.personal.services","Summation.of.sector.GDP"
"41","ARG",1990,"LAM",79.0569169756125,1206.39653185367,126.571137380806,123.312578474925,44.9861247430452,65.8315481218825,108.498054476298,70.4701221185776,63.6955213360099,37.1731748846434,80.6950917145258
"42","ARG",1991,"LAM",35.1999157914179,522.039133403186,59.2902870543602,55.2866414196099,25.4758161693455,31.3824422968336,49.4558434910785,33.0092999078639,26.7064421574217,15.5895099843342,36.7339442800583
"43","ARG",1992,"LAM",31.5758409882019,471.108591428615,57.3125470043418,53.5026244067096,26.5463918548839,29.7096375812609,45.5368206789304,31.1025870828043,24.3705522684989,14.2194528750209,34.7158215408922
"44","ARG",1993,"LAM",34.6279771848149,623.172281034833,66.7559808801133,61.2901832257398,37.6329300970267,31.3134272888273,46.8067349293587,31.9184836972091,27.5792083681486,16.0864404693635,39.0116238599475
"45","ARG",1994,"LAM",37.2382178815676,575.937516474216,71.5118890648033,63.2011339011867,41.4704891742719,35.0637110197346,45.9441825477328,32.5263186393819,27.120043851573,16.6515608359025,41.1775301593576
"46","ARG",1995,"LAM",40.3778968370848,715.357186795029,75.0247991164647,76.1069340272158,30.4931087733584,34.9446510293297,49.1831832926556,31.8615352868251,28.1010040305092,16.8695636507123,41.8766338387253
"47","ARG",1996,"LAM",41.3209365118399,733.065381323058,83.2398341716189,77.5150740625296,31.8992191596579,37.0937921737038,52.8868445022392,33.8671122032912,28.3076293725917,16.9105384833559,43.8986794153145
"48","ARG",1997,"LAM",42.5561502927002,740.247226345316,87.1794538564659,74.056550296628,38.4283499872893,41.0634301057706,56.4165198629756,36.0806686425098,27.4699828418466,17.6088026242894,46.0578987116901
"49","ARG",1998,"LAM",48.0145247394903,806.794203369189,92.8039428465246,73.2851211823567,43.0595044971812,40.0920485194107,60.122199579012,39.9473497228479,26.8226547050078,17.6819980845916,47.2323230468111
"50","ARG",1999,"LAM",51.7347688616886,964.674221882178,93.6556845401156,79.1179415359235,43.5485356716238,38.8742058206348,58.3729486597179,37.412795812352,27.9732452397175,17.9362147674463,46.9943963879663
"51","ARG",2000,"LAM",52.7675437440291,1042.18719828924,94.568588073359,90.1846168491755,40.6776193654144,36.9287949186269,58.8301574022211,38.550110126493,28.0768269491696,17.9370016984786,46.6351653509446
"52","ARG",2001,"LAM",56.6413593176606,963.505869240359,93.7918244466125,103.481845546832,34.3923960724164,35.4526885539739,60.7068508047346,37.641041555442,28.7878736865566,18.1698480804935,46.4239563471149
"53","ARG",2002,"LAM",43.0450028881032,678.86046845637,69.5474691153565,95.8480684430246,20.8402969090107,24.9094920291646,47.2528995637458,25.0133248756824,19.4386539182053,12.498234310599,32.738285824114
"54","ARG",2003,"LAM",44.4115890793521,502.244083151721,66.6222553666132,88.8193254107306,21.2192006102049,22.9419731527914,50.3744712448171,19.5667436024581,17.476310390628,12.6068061219859,31.1233576006824
"55","ARG",2004,"LAM",37.3473271734239,362.701107070042,57.4506211602074,86.5623533626951,20.1945073168546,20.1097065770836,44.1872209515059,15.8141126259777,15.6110571814508,11.1633606964659,27.2992167565272
"56","ARG",2005,"LAM",37.9360529950718,356.801142980892,56.3491100352789,74.6323734712496,19.7344337346493,20.0781045835707,46.2471988080738,14.9303444800724,15.1048793143213,10.3989594148296,26.5654148551091
"57","ARG",2006,"LAM",35.21489185893,277.438243386225,53.1774485927929,76.017696219542,20.3594524739051,19.0243676207768,47.2287851039392,14.6332418008904,13.7790153758818,10.0362635974786,25.213550197368
"58","ARG",2007,"LAM",34.1742794004509,246.664920674173,48.8218420556797,61.8095498732758,18.1717266457632,18.5079112100227,43.6275939611876,13.9163972147268,12.8032176467554,9.15002194677211,23.55295478948
"59","ARG",2008,"LAM",27.215952442189,189.515031703613,41.7853113148706,46.4318595128062,15.3668229456722,15.7436176775202,38.6581538252754,13.2210647019341,10.7103888057708,8.13843311913586,20.0876716080039
"60","ARG",2009,"LAM",20.2164151417812,170.696849251901,38.1423898405833,45.8235859556409,12.6966496387816,13.8960370677269,36.370776781769,11.057926976929,9.38611190578457,7.16142225412855,17.3301484715201
"61","ARG",2010,"LAM",21.3865528984635,119.137633896597,33.1112438806234,37.811227438006,11.1681476694645,12.5392506026563,32.8010658142703,9.67673656120808,8.11189419908192,5.98877718854839,15.45578826919
"62","ARG",2011,"LAM",17.3477981749113,82.8907835285219,29.3797657395681,27.0408384651757,9.45359951742115,11.5207776316816,29.2800832977799,9.39498976854851,6.85738357416034,5.06420773108215,13.5242956678839
"103","BOL",1990,"LAM",5.76838644564166,69.8177584260121,28.3229233494521,170.561979777252,12.3964814526892,22.9377976961714,33.7639641789914,53.7776939192637,NA,14.6750676363442,16.1906514271811
"104","BOL",1991,"LAM",5.21649977178007,57.3810398308548,22.171547512309,137.42960119311,8.37821452221496,17.4204425206058,31.8101171722015,35.1801988814724,NA,15.7858904992725,14.2744004762165
"105","BOL",1992,"LAM",4.32846229633544,59.2063442186835,18.3034915336277,129.959265070061,7.37582943094542,15.526377470962,29.6394063380377,29.3804012840706,NA,15.3263245569435,12.7424370115908
"106","BOL",1993,"LAM",4.36130145912336,72.9567678177112,18.3014433689361,252.362745699862,7.95706272551512,13.2203992142334,24.4536568015437,27.1673394353415,NA,14.7112278167978,12.4987396138442
"107","BOL",1994,"LAM",4.36327214084672,68.7513712109418,16.334493733818,212.629240781477,5.69364682772731,10.4967227815203,25.2615556580781,28.5263674696104,NA,14.2480386608631,11.6960627536941
"108","BOL",1995,"LAM",4.09585845048604,53.6676318408596,14.7776505619254,264.586695626745,5.89617915476614,8.99686042310662,23.5114199837004,27.4453734740782,NA,12.9860165543192,10.8914809483982
"109","BOL",1996,"LAM",4.00920361470996,57.2684685094081,12.6024132815632,142.555571401528,5.80322029969824,7.90102344323119,24.0513486517371,25.6292107058408,NA,11.5484099952149,10.0969228351821
"110","BOL",1997,"LAM",4.16327145270312,50.4703081772931,11.4145352221119,125.731654170832,5.01706791817637,8.26355255296031,20.1020137435957,24.925260694014,NA,11.4433664708004,10.0273799259001
"111","BOL",1998,"LAM",3.83600678400093,48.1274817225716,11.1318031811443,121.711057096218,6.52237025596075,7.12658078984062,20.1241952877501,30.3723179348627,NA,10.6891495937605,9.78722058747522
"112","BOL",1999,"LAM",3.97858306644095,43.0414154988693,11.3881978050261,126.368377228823,5.43022969577572,6.35350885019715,19.6053238481814,38.7611880982849,NA,10.3314026161517,9.67266502251105
"113","BOL",2000,"LAM",4.07449134047072,42.7740320450677,12.1234450642526,76.945960893788,3.5052109573403,5.92841927474072,23.9791234077764,22.8460374532349,NA,10.3909756110251,9.31591755568309
"114","BOL",2001,"LAM",4.24081010829293,71.4152159928211,11.2397142398502,84.2565465049537,4.46804435574422,5.06122494052631,20.9766404414361,26.2926027707497,NA,10.5512160025217,9.31805209857828
"115","BOL",2002,"LAM",4.32992300620322,90.3338375729786,9.05227515326458,127.588811510396,4.6457402180389,5.02294412681872,21.6119689298755,31.3507914371426,NA,10.2012270341403,9.12540108151765
"116","BOL",2003,"LAM",5.51460028817009,41.9714737261015,9.06945238152464,71.9951207590376,2.72309236118018,4.23212007307158,20.4159304705151,27.3792409252705,NA,9.59497303610073,8.74986875115124
"117","BOL",2004,"LAM",4.95278535698979,41.0767595677098,8.58140440362368,65.913490192468,2.49316440656818,3.92076854406946,18.9611684938407,23.6091164528291,NA,8.87011693210782,8.09127004366537
"118","BOL",2005,"LAM",4.48502668112407,57.7934842917963,8.61278300826908,70.6812299178415,2.63984989069317,4.4703918075426,15.1299625518841,21.1528588875955,NA,8.92848796827996,8.1236475355493
"119","BOL",2006,"LAM",3.99728502927177,73.251439085818,8.47451315525692,71.7891740836622,2.97517876423415,4.15054962062427,14.9417469891889,14.2093931080804,NA,7.58240315080531,7.50110660525305
"120","BOL",2007,"LAM",4.11582344526461,57.3859601905502,8.10659914521841,62.0633442328947,2.5900034901237,4.23069572514931,13.9139166373908,15.8522033528438,NA,6.69592991959081,7.26540280194123
"121","BOL",2008,"LAM",3.957916149055,80.2150834756101,7.6085567580298,49.4712229245527,2.56091442388449,3.24304280773331,10.8154311662814,15.9567123614364,NA,7.15163658031331,6.85634634791537
"122","BOL",2009,"LAM",4.53700286768946,98.1360324629196,7.87937218813302,69.715485853239,2.63372164322302,3.70365791972887,12.4181147357092,14.0684189020414,NA,6.76309869719818,7.25389833663273
"123","BOL",2010,"LAM",4.60978520406169,107.507049279847,7.22305649898823,88.594000036686,2.40204924678194,3.75234263782313,12.6663634097132,7.50849846984337,NA,5.68044189170266,6.70407891120605
"165","BRA",1990,"LAM",292449.002819714,7084872.74220033,1867601.64693773,8344640.17991004,1376892.36742281,1250734.53099648,2858320.55955586,3958735.9849392,2577644.18359884,524995.790462517,1531307.2564581
"166","BRA",1991,"LAM",59107.5699282521,1550703.34757835,386508.925474664,1848719.41896024,286199.873576256,245733.067812161,598514.273083239,761940.592640367,547404.23423038,107018.742944193,308120.819950952
"167","BRA",1992,"LAM",5581.9545220682,154423.135824728,38564.8002902635,200102.598704204,28686.7260599373,22992.108205602,63241.9935496419,67652.2207344774,53118.2307156098,10228.4650482288,29307.3683396738
"168","BRA",1993,"LAM",287.057903022677,7231.41408047814,1806.96087742708,9000.71293305685,1281.65594031397,1034.80762870295,3164.61605981401,3062.61424411303,2621.60237565801,523.896627492412,1388.8216157786
"169","BRA",1994,"LAM",12.3334083023494,335.459456952507,82.5352569430081,445.218460262406,58.0332121173331,45.76875391247,138.211044447325,124.454114101693,112.419772356975,22.4132780491945,60.5960574201681
"170","BRA",1995,"LAM",7.08844504967135,203.849151582008,47.6991720052174,278.17829356612,33.9237882851198,25.9464778504493,77.662904706163,60.961055999233,60.0154250673354,12.2968860696482,33.3884403217396
"171","BRA",1996,"LAM",6.76635380067406,201.909910671892,42.3398569400314,272.136608238091,29.1193472972419,22.9709795897466,68.621403992736,50.6999016041274,51.8540018949037,10.6240168629896,29.6021096066081
"172","BRA",1997,"LAM",6.37050476284905,201.890050818728,43.1707477270348,263.283278990756,28.3225414783223,22.5657881915741,65.8834360349606,46.5279974349564,48.6083756706976,9.95986919714043,28.497332464857
"173","BRA",1998,"LAM",6.57058403592623,202.411942824608,44.2263659850691,230.916594393459,25.8780076049089,21.4628437680914,58.0138469100808,45.5681271165155,47.3158551090327,9.69426541661278,27.7511764327323
"174","BRA",1999,"LAM",6.12146005142157,188.572322126064,39.4113930929598,237.108998184226,22.8424026509506,19.1899939397496,52.4525745022581,42.0455892136782,42.9470421605624,8.79941123983233,24.965312015249
