"","Country.code","Year","Region.code","Agriculture","Mining","Manufacturing","Utilities","Construction","Trade..restaurants.and.hotels","Transport..storage.and.communication","Finance..insurance..real.estate.and.business.services","Government.services","Community..social.and.personal.services","Summation.of.sector.GDP"
"41","ARG",1990,"LAM",12.5850900729523,123.195834402559,25.3225820066813,47.0485954027857,10.917905576946,16.070587322496,25.6893541683299,11.7403369571504,10.0538939449426,7.89447986025004,15.8056816190451
"42","ARG",1991,"LAM",11.6814469882367,98.073141289926,25.7097589781364,44.9121537108679,13.0000124233321,17.7354347536965,27.7468834115853,13.0809054390939,12.5141206258269,9.82733491439524,16.9851366068636
"43","ARG",1992,"LAM",11.6960822335406,86.8463626034332,25.0370614219721,52.3420751568443,16.5842584928167,18.4312480789987,28.2985633149987,15.8246581079994,14.3226773294467,11.2427476776271,18.0650880959022
"44","ARG",1993,"LAM",12.9369074946436,109.584117026966,29.5364934634535,61.8279343398064,27.5374437408883,20.4234274787899,30.6908827664096,17.6410092065585,17.9031373248329,14.0495709434296,21.4835523147608
"45","ARG",1994,"LAM",13.9420893582166,96.4271262680359,32.1980378378325,60.9372500230718,30.6615091223912,23.3379994746987,30.9009167039605,14.865731073828,18.8967891415949,14.5065190140844,22.8795346954241
"46","ARG",1995,"LAM",15.1032913321541,130.324524390509,35.2989756333553,71.6490218848959,24.0580261784395,24.1984146189991,33.9624474153328,16.1600108821912,19.7064628417326,14.5397997295388,23.7950658260633
"47","ARG",1996,"LAM",17.2916059341133,155.517923218109,39.453500513196,71.7930372623747,23.4027951823783,25.7395285361813,36.7399681183425,15.3242876884697,19.419326533124,14.744411038187,24.9948273877135
"48","ARG",1997,"LAM",17.7535928426609,149.19362503142,42.3451220702613,66.6872569119553,26.9597356505384,28.3391034323211,39.4549487764715,14.9464391477326,19.144748217145,14.6853613722742,26.2481609573411
"49","ARG",1998,"LAM",18.9159808822152,129.402850313438,44.2127259720884,64.861287882393,30.2220141785926,27.3655727457994,41.0451897142726,15.7459290182939,19.362742628423,14.2373749309863,26.5055586905514
"50","ARG",1999,"LAM",16.0094935152384,173.425413018858,43.702593389491,71.2212440099543,31.0890461374792,25.8804025531204,38.8761222605415,15.2365667974921,20.5977166111986,14.4038474852002,25.9192581448165
"51","ARG",2000,"LAM",17.4901144344212,266.593798956934,44.7253950151824,81.7647366200732,27.7310464891622,24.2422688829334,39.5836286125334,15.3951807734949,20.8931991675565,14.4784455982078,26.0347059015453
"52","ARG",2001,"LAM",17.1483014447963,220.854575150922,44.1701361640629,89.2342429528178,23.1136194513104,23.0757518626834,40.5616743626529,19.4977421667417,21.0195795225924,14.5842466799156,25.7577454108205
"53","ARG",2002,"LAM",34.6602335102227,453.480249971535,54.101265601918,72.0475930206556,14.3033378594167,19.5920570197437,34.6596232370474,18.7332432638165,13.7207502977575,9.23157037880781,24.5661751824925
"54","ARG",2003,"LAM",40.7198003543712,355.568579767503,59.3941935110773,71.4730768047736,15.843981236565,19.7797714969064,44.2729952373012,13.8305482339309,13.1559086478815,10.1395526553482,25.8963798165256
"55","ARG",2004,"LAM",38.6460375288717,295.733365519444,53.9988870647682,74.3655128925816,17.4467284350787,18.2216616851493,42.8522285422248,14.3952005766483,12.8803786218869,9.95328835060914,24.9138601208038
"56","ARG",2005,"LAM",37.9360529950718,356.801142980892,56.3491100352789,74.6323734712496,19.7344337346493,20.0781045835707,46.2471988080738,14.9303444800724,15.1048793143213,10.3989594148296,26.5654148551091
"57","ARG",2006,"LAM",37.5977096682853,338.769157509684,57.6542340178717,82.5451549289123,25.0540874878999,21.3532905870782,50.1906569735041,16.2425567308312,17.4461441144249,11.5578111797912,28.5527230408352
"58","ARG",2007,"LAM",45.8925967305929,296.918128048058,57.9984873973394,71.8279512219469,27.0293283142726,23.3428702152516,48.8130155416765,17.2978672150512,20.2417637693082,12.2056080580799,30.3035250780769
"59","ARG",2008,"LAM",49.8448263972075,226.557212053681,60.1428060654583,58.513546185669,26.899074683346,23.8259499245359,48.3017841113645,19.0588305810795,21.5176909185311,12.7974057204325,31.0610005693191
"60","ARG",2009,"LAM",37.3968103605151,222.594286336952,61.5166908404124,62.498950484087,24.574661335537,23.8859509470647,46.0881152522139,19.3537168407077,22.0741713150754,13.5428120223013,29.8598894608445
"61","ARG",2010,"LAM",51.5431422919416,195.5592878313,58.9213309544461,56.7294749800194,25.3590727548359,23.9927995683398,46.53360989759,20.0921913222722,22.1699810770507,12.6509237237041,30.6683918291444
"62","ARG",2011,"LAM",57.7242671874328,170.151704612339,60.2267509871307,44.1965753860656,25.6634450388769,25.2564574039792,47.540308384827,20.5048340550954,23.3794935429343,12.1573273929771,31.7432901207401
"103","BOL",1990,"LAM",2.39986739122941,25.8911612353378,13.5958334876446,43.9702401088965,5.14529965724579,9.19178685196012,11.0927727062942,18.3364859537313,NA,3.96795957111736,5.94264599493828
"104","BOL",1991,"LAM",2.47785822093498,19.6663582180486,13.1455845414704,50.5687561671734,4.07495322343899,8.11554751963966,12.919025298183,14.6670642337702,NA,5.13130526387187,6.1356821446164
"105","BOL",1992,"LAM",2.28911840254831,21.4589510041473,12.0638101725307,69.9224246202552,3.74819266773155,7.78153419921193,14.0547369259642,14.2812379197869,NA,5.81289122217864,6.1513880348667
"106","BOL",1993,"LAM",2.5022486994458,19.7711437471378,12.6749549896961,159.322986441841,4.59082817824871,7.06990779530749,13.0064476337031,14.2593397195446,NA,6.29346066545328,6.4186138393617
"107","BOL",1994,"LAM",2.75971558765759,19.2333381445486,11.9713481614929,146.048367405459,3.42014201804453,6.08806047283969,13.9941815458192,15.704014068481,NA,6.6999158800706,6.45896353001964
"108","BOL",1995,"LAM",2.90439111440831,20.100817240607,11.8807199583279,193.608591355029,3.68752527360947,5.88535868582823,13.360535984445,16.7521241551121,NA,6.77383834681525,6.67160432645992
"109","BOL",1996,"LAM",2.96129301397279,24.9438496434888,11.0456972699529,102.793927450202,3.44707800384478,5.69759380219338,15.3483250597785,18.128932076942,NA,6.75794972513951,6.78620948966587
"110","BOL",1997,"LAM",3.43237865388064,24.5526175015879,9.61734631295957,88.0121579195821,3.42986050470295,6.1735912064788,13.6150656128008,20.293920779455,NA,7.32277609567543,7.1666431948459
"111","BOL",1998,"LAM",3.14891309455894,21.8891792638894,9.9149480135522,95.2711326641852,4.90895629041125,5.86942119774899,15.7525523612043,26.5160352740233,NA,7.76663299437804,7.5133490621765
"112","BOL",1999,"LAM",3.44077649725389,20.6779221729262,9.84770711118901,99.2172287499447,4.3298792001778,5.18697294913027,15.7411982680661,36.1545651254813,NA,7.79826294341468,7.65911072807117
"113","BOL",2000,"LAM",3.59124888013999,25.1633688862224,10.8176496576435,65.237732144649,2.91946444093653,4.90848600960634,19.4429789549138,21.5031465271483,NA,8.12494718080247,7.63451463355705
