"","Area_code","Region","sub_region","Year","Decade","Emploi_nb_EASD","Emploi_share_FAO","Emploi_nb_FAO","Emploi_share_FAO_wage","Emploi_to_pop_FAO2","Emploi_nb_FAO2","Emploi_labforcepart_FAO2","Employees_share_FAO2","Emploi_share_FAO2","Emploi_share_ILOmod","Emploi_nb_ILO","Tot_Emploi_to_pop_ILOmod","Tot_Emploi_to_pop_ILO","Emploi_share_ILO","Emploi_Agripop_WB","Emploi_nb_WB","Emploi_share_WB","Cereals_Area_FAO","Cereals_Prod_FAO","Cereals_Yield_FAO","Crops_GPCPI_FAO","Crops_GPI_FAO","Crops_NPCPI_FAO","Crops_NPI_FAO","GDP_cons_USD_WB","Land_FAO","Pop_Rurals_FAO","Pop_Urbans_FAO","VAW_FAO","VAW_WDI","LogGDP"
"1","ABW","Americas","Latin America and the Caribbean",1950,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,19.386,NA,NA,NA
"2","ABW","Americas","Latin America and the Caribbean",1951,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,19.481,NA,NA,NA
"3","ABW","Americas","Latin America and the Caribbean",1952,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,19.832,NA,NA,NA
"4","ABW","Americas","Latin America and the Caribbean",1953,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,20.429,NA,NA,NA
"5","ABW","Americas","Latin America and the Caribbean",1954,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,21.244,NA,NA,NA
"6","ABW","Americas","Latin America and the Caribbean",1955,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,22.236,NA,NA,NA
"7","ABW","Americas","Latin America and the Caribbean",1956,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,23.351,NA,NA,NA
"8","ABW","Americas","Latin America and the Caribbean",1957,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,24.517,NA,NA,NA
"9","ABW","Americas","Latin America and the Caribbean",1958,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,25.657,NA,NA,NA
"10","ABW","Americas","Latin America and the Caribbean",1959,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,26.683,NA,NA,NA
